Entity,Code,Year,Population,Birth rate,Period life expectancy at birth,Continent
Afghanistan,AFG,2020,38972236,36.051,62.5751,Asia
Albania,ALB,2020,2866850,10.285,76.9893,Europe
Algeria,DZA,2020,43451668,22.431,74.4528,Africa
Angola,AGO,2020,33428490,39.271,62.2612,Africa
Argentina,ARG,2020,45036032,14.125,75.8921,South America
Armenia,ARM,2020,2805610,12.455,72.173,Asia
Australia,AUS,2020,25670052,11.576,84.3239,Oceania
Austria,AUT,2020,8907780,9.367,81.5036,Europe
Azerbaijan,AZE,2020,10284952,12.834,66.8679,Asia
Bahrain,BHR,2020,1477478,12.621,79.1735,Asia
Bangladesh,BGD,2020,167420944,18.053,71.9678,Asia
Barbados,BRB,2020,280704,10.859,77.3929,North America
Belarus,BLR,2020,9633745,9.47,72.5132,Europe
Belgium,BEL,2020,11561716,9.961,80.7884,Europe
Benin,BEN,2020,12643121,37.114,60.088,Africa
Bolivia,BOL,2020,11936169,22.056,64.4667,South America
Bosnia and Herzegovina,BIH,2020,3318410,8.611,76.2254,Europe
Botswana,BWA,2020,2546404,24.195,65.6471,Africa
Brazil,BRA,2020,213196304,13.078,74.0089,South America
Bulgaria,BGR,2020,6979181,8.56,73.6453,Europe
Burkina Faso,BFA,2020,21522632,36.085,59.7306,Africa
Burundi,BDI,2020,12220229,35.603,61.5663,Africa
Cambodia,KHM,2020,16396864,19.849,70.416,Asia
Cameroon,CMR,2020,26491090,35.507,60.8328,Africa
Canada,CAN,2020,37888704,9.804,82.0471,North America
Cape Verde,CPV,2020,582646,17.158,74.8077,Africa
Central African Republic,CAF,2020,5343024,42.175,54.6042,Africa
Chad,TCD,2020,16644707,43.849,52.7774,Africa
Chile,CHL,2020,19300318,11.834,79.3769,South America
China,CHN,2020,1424929792,8.597,78.0766,Asia
Colombia,COL,2020,50930656,14.435,74.7692,South America
Comoros,COM,2020,806168,29.896,64.1665,Africa
Congo,COG,2020,5702183,31.155,63.7852,Africa
Costa Rica,CRI,2020,5123107,12.152,79.277,North America
Cote d'Ivoire,CIV,2020,26811792,34.197,59.0318,Africa
Croatia,HRV,2020,4096872,8.716,77.9845,Europe
Cuba,CUB,2020,11300695,9.344,77.5673,North America
Cyprus,CYP,2020,1237540,10.583,81.3905,Europe
Czechia,CZE,2020,10530951,10.167,78.5746,Europe
