Entity,Code,Year,Period life expectancy at birth,GDP per capita,Population (historical estimates),Continent
Afghanistan,AFG,2020,62.5751,1928.4547,38972236.0,Asia
Albania,ALB,2020,76.9893,11372.541,2866850.0,Europe
Algeria,DZA,2020,74.4528,13086.293,43451668.0,Africa
Angola,AGO,2020,62.2612,6279.929,33428490.0,Africa
Argentina,ARG,2020,75.8921,15975.839,45036032.0,South America
Armenia,ARM,2020,72.173,11546.176,2805610.0,Asia
Australia,AUS,2020,84.3239,48268.945,25670052.0,Oceania
Austria,AUT,2020,81.5036,40503.04,8907780.0,Europe
Azerbaijan,AZE,2020,66.8679,16189.511,10284952.0,Asia
Bahrain,BHR,2020,79.1735,36890.504,1477478.0,Asia
Bangladesh,BGD,2020,71.9678,4418.9644,167420944.0,Asia
Barbados,BRB,2020,77.3929,10487.387,280704.0,North America
Belarus,BLR,2020,72.5132,19053.156,9633745.0,Europe
Belgium,BEL,2020,80.7884,38763.44,11561716.0,Europe
Benin,BEN,2020,60.088,2297.7698,12643121.0,Africa
Bolivia,BOL,2020,64.4667,6062.065,11936169.0,South America
Bosnia and Herzegovina,BIH,2020,76.2254,10736.168,3318410.0,Europe
Botswana,BWA,2020,65.6471,14162.686,2546404.0,Africa
Brazil,BRA,2020,74.0089,13685.926,213196304.0,South America
Bulgaria,BGR,2020,73.6453,18203.832,6979181.0,Europe
Burkina Faso,BFA,2020,59.7306,1638.8279,21522632.0,Africa
Burundi,BDI,2020,61.5663,720.446,12220229.0,Africa
Cambodia,KHM,2020,70.416,3728.1985,16396864.0,Asia
Cameroon,CMR,2020,60.8328,2769.2869,26491090.0,Africa
Canada,CAN,2020,82.0471,42493.63,37888704.0,North America
Cape Verde,CPV,2020,74.8077,5831.9985,582646.0,Africa
Central African Republic,CAF,2020,54.6042,613.78937,5343024.0,Africa
Chad,TCD,2020,52.7774,1463.5312,16644707.0,Africa
Chile,CHL,2020,79.3769,20205.87,19300318.0,South America
China,CHN,2020,78.0766,17225.969,1424929792.0,Asia
Colombia,COL,2020,74.7692,12377.135,50930656.0,South America
Comoros,COM,2020,64.1665,1869.9441,806168.0,Africa
Congo,COG,2020,63.7852,4203.1104,5702183.0,Africa
Costa Rica,CRI,2020,79.277,13996.39,5123107.0,North America
Cote d'Ivoire,CIV,2020,59.0318,3682.1353,26811792.0,Africa
Croatia,HRV,2020,77.9845,21672.479,4096872.0,Europe
Cuba,CUB,2020,77.5673,7364.1055,11300695.0,North America
Cyprus,CYP,2020,81.3905,28634.457,1237540.0,Europe
Czechia,CZE,2020,78.5746,30365.37,10530951.0,Europe
Democratic Republic of Congo,COD,2020,59.7392,794.2714,92853168.0,Africa
Denmark,DNK,2020,81.5449,47171.086,5825638.0,Europe
Djibouti,DJI,2020,62.6943,3426.696,1090162.0,Africa
Dominica,DMA,2020,73.649,7974.3066,72011.0,North America
Dominican Republic,DOM,2020,72.8894,15325.654,10999668.0,North America
Ecuador,ECU,2020,72.1535,9646.065,17588596.0,South America
Egypt,EGY,2020,70.9905,12234.504,107465128.0,Africa
El Salvador,SLV,2020,71.0609,8137.9746,6292734.0,North America
Equatorial Guinea,GNQ,2020,60.7083,23300.297,1596057.0,Africa
Estonia,EST,2020,78.3431,28261.582,1329449.0,Europe
Eswatini,SWZ,2020,59.6922,8167.6895,1180663.0,Africa
Ethiopia,ETH,2020,65.3705,2121.8591,117190920.0,Africa
Finland,FIN,2020,81.8657,38871.703,5529468.0,Europe
France,FRA,2020,82.2104,35913.82,64480052.0,Europe
Gabon,GAB,2020,66.5305,15745.749,2292583.0,Africa
